id;key;value;description;updated_at
0b5777ed-30b2-4562-9655-c0de29abf868;pricing;68만 원;2개월 합계 가격;2025-12-11 13:29:45.815339+00
b358fbb0-b8aa-4231-ae9b-3c5bae46afd4;period;2026.01.01 ~ 02.28;윈터스쿨 기간;2025-12-11 13:29:45.815339+00
15e5a7cc-975b-49da-a56a-57b11d3e9ba3;capacity;30;정원 (명);2025-12-11 13:29:45.815339+00
49f6f6d3-e76f-4259-a189-4e0e4ffa38a7;address;광주광역시 광산구 임방울대로 330, 애플타워 10층 310호;센터 주소;2025-12-11 13:29:45.815339+00
9b121912-3e58-42bb-9766-d25d04cfc0a0;show_popup;false;윈터스쿨 팝업 표시 여부;2025-12-11 13:37:45.513678+00
